"","talkative","researvedR","fullenergy","enthusiastic","quietR","assertive","shyR","outgoing","findfaultR","helpful","quarrelsR","forgiving","trusting","coldR","considerate","rudeR","cooperative","thorough","carelessR","reliable","disorganizedR","lazyR","persevere","efficient","plans","distractedR","blue","relaxedR","tense","worries","emostableR","moody","calmR","nervous","ideas","curious","ingenious","imagination","inventive","artistic","routineR","reflect","nonartisticR","sophisticated"
"1",5,3,5,4,2,4,3,5,2,5,2,3,5,1,5,2,4,4,3,4,2,2,4,4,4,3,2,4,4,3,2,4,4,3,4,4,4,4,3,3,2,3,2,3
"2",4,3,4,4,2,4,3,4,4,3,4,5,3,3,4,2,3,2,4,4,4,4,3,2,2,4,3,1,5,5,2,4,1,5,4,5,5,5,4,3,4,5,2,2
"3",3,4,3,3,4,4,4,3,2,4,2,4,4,3,4,4,4,3,4,4,4,5,4,3,3,4,2,4,4,2,2,4,4,4,2,4,2,4,1,2,3,2,5,1
"4",3,4,3,3,4,2,4,3,2,4,2,4,4,2,5,2,4,4,3,4,3,4,3,4,2,4,2,4,2,3,4,3,4,4,4,5,1,4,2,4,4,3,4,2
"5",5,3,5,5,1,5,1,5,3,5,4,5,5,1,5,1,5,5,4,5,5,1,5,5,5,3,1,3,4,3,5,1,5,1,5,4,5,5,5,5,3,5,1,3
"6",3,4,3,3,3,3,3,4,4,4,2,4,4,2,4,2,4,4,2,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,2,3
"7",4,3,4,4,2,4,3,4,4,5,3,4,4,3,4,2,5,3,4,3,4,2,2,4,4,4,2,2,3,3,1,5,3,3,3,4,4,5,2,4,5,5,1,4
"8",2,4,5,4,4,2,4,4,1,5,1,5,5,1,5,1,5,5,2,5,2,1,5,5,5,2,1,4,2,1,5,2,5,2,3,5,4,4,4,3,4,4,3,3
"9",5,2,5,5,1,5,1,5,3,4,1,5,5,1,5,2,5,5,2,5,3,5,4,5,5,1,1,3,1,1,4,4,4,1,3,5,5,4,3,5,5,5,5,5
"10",5,1,4,5,1,4,1,5,2,4,2,4,4,1,4,2,4,3,4,5,5,3,3,4,3,4,2,2,4,3,3,4,2,2,5,4,5,5,5,5,1,5,1,5
"11",4,4,3,2,4,3,4,3,4,5,3,2,1,4,5,4,2,4,4,3,3,2,4,4,4,4,3,2,4,3,2,5,2,4,4,4,4,4,4,3,4,4,2,4
"12",5,2,5,4,2,3,3,4,1,4,4,3,4,4,4,3,4,4,3,5,1,4,3,5,4,2,3,5,3,2,3,2,3,2,4,5,2,4,2,3,5,4,3,1
"13",4,3,4,4,2,4,3,4,3,4,3,4,4,2,4,4,4,4,4,4,4,4,5,4,2,5,2,4,5,4,4,4,3,4,3,5,3,2,2,2,4,3,4,1
"14",4,3,5,3,4,3,2,5,2,3,4,3,3,3,4,3,4,4,3,5,1,2,4,5,4,3,1,4,3,2,4,3,5,4,4,4,4,3,3,4,4,4,4,2
"15",4,4,3,4,3,5,3,3,3,5,2,5,3,4,5,2,4,4,3,4,2,4,5,4,4,3,2,4,5,4,2,4,4,3,5,5,5,5,5,5,3,5,1,5
"16",5,3,3,3,4,3,5,4,5,4,4,2,4,3,4,3,4,2,4,2,5,4,2,2,3,4,4,2,4,5,2,4,2,4,2,4,4,4,3,2,3,2,4,3
"17",3,3,3,4,3,3,4,4,4,4,3,3,4,3,4,2,3,4,3,4,5,4,4,3,4,4,3,4,2,2,2,3,4,2,4,4,3,4,2,4,4,4,4,3
"18",5,2,5,5,2,5,2,5,1,4,2,3,4,1,5,1,4,5,4,4,3,2,5,3,4,5,2,3,4,4,3,5,3,4,5,5,4,5,5,5,2,5,1,5
"19",3,1,5,5,5,2,3,5,2,5,1,5,5,1,5,1,4,5,4,5,5,3,5,3,5,4,2,5,1,1,5,2,5,1,5,4,5,5,5,5,1,5,1,5
"20",2,4,3,3,5,3,5,3,4,3,2,4,4,4,5,4,4,3,4,4,3,5,2,5,5,5,4,3,4,5,4,4,5,5,3,4,4,3,3,3,5,2,3,3
"21",5,3,5,5,3,5,4,5,4,5,3,5,5,1,5,2,4,4,3,4,2,2,4,4,5,5,2,5,3,2,2,4,4,4,5,5,3,5,4,4,4,4,4,5
"22",5,2,4,4,2,4,2,4,2,4,1,4,4,2,4,2,4,4,2,4,2,2,4,4,4,2,2,4,2,2,4,3,3,2,3,3,2,3,3,3,1,2,3,3
"23",5,1,4,5,1,5,2,5,2,4,3,2,5,1,4,4,5,5,5,5,5,5,1,1,2,5,2,5,2,1,5,4,5,1,2,5,4,5,4,5,3,4,2,4
"24",4,3,4,4,3,4,3,4,3,4,2,4,4,3,4,2,4,4,2,4,2,2,4,4,3,2,2,3,3,3,4,2,3,3,4,5,4,3,3,4,4,4,2,4
"25",5,3,5,5,5,4,2,5,4,3,2,4,5,3,5,3,4,1,3,4,5,3,4,4,4,3,3,3,3,3,3,5,2,2,4,4,4,4,2,5,3,5,3,4
"26",4,4,4,4,4,2,4,2,2,4,1,4,4,1,5,2,4,4,1,4,2,2,4,4,4,3,1,4,3,3,3,4,4,3,3,4,3,4,4,4,4,3,1,4
"27",4,3,4,3,2,4,2,4,3,3,4,3,4,4,3,4,3,3,4,3,4,4,4,4,4,4,3,2,4,4,2,5,1,5,3,4,3,3,2,2,2,4,3,2
"28",3,3,4,5,3,4,3,5,3,5,3,5,5,1,5,1,3,3,3,5,3,2,5,5,3,4,1,2,4,3,5,3,3,4,3,4,3,5,4,2,5,3,5,2
"29",5,3,4,3,2,4,3,4,3,4,2,5,4,1,4,2,4,3,3,4,3,2,4,3,3,4,3,2,4,4,2,5,2,3,2,5,3,3,1,4,4,2,4,3
"30",5,2,5,5,2,4,2,5,4,4,1,5,5,1,5,2,5,4,4,4,4,4,2,4,3,3,1,5,2,2,5,2,5,2,3,5,2,5,4,4,4,4,2,3
"31",4,2,4,4,2,4,4,4,3,4,3,4,4,2,4,2,4,4,4,4,1,4,3,4,4,4,2,2,4,4,2,4,3,4,4,4,3,4,4,2,4,4,2,2
"32",5,2,4,5,1,5,1,5,2,3,3,5,5,2,4,3,4,4,3,5,2,2,5,4,3,1,1,3,4,2,5,3,4,1,4,4,3,5,5,3,2,4,1,4
"33",2,3,4,4,3,4,4,5,3,4,2,4,4,2,4,2,3,5,3,5,3,4,4,4,4,4,1,4,3,3,2,3,4,3,4,4,4,4,3,3,4,4,2,5
"34",5,1,5,5,1,5,2,5,2,4,1,4,5,1,5,2,4,4,2,5,2,3,4,4,4,2,1,3,2,2,4,3,2,2,4,4,4,5,4,5,2,4,1,5
"35",4,2,4,4,2,4,3,4,2,4,2,4,4,1,4,2,4,5,3,5,2,2,4,4,4,2,1,3,3,2,1,1,4,2,4,4,4,4,4,3,2,4,3,4
"36",4,2,4,4,2,4,2,4,1,5,1,5,5,1,5,1,5,4,2,5,2,1,3,4,5,3,1,4,2,2,4,1,4,3,4,4,5,4,4,5,4,5,1,5
"37",4,2,2,3,3,3,2,4,3,4,4,4,1,5,3,4,3,2,4,3,4,4,3,3,3,4,4,3,3,2,1,4,4,3,3,4,3,4,3,3,3,3,3,2
"38",5,4,3,4,3,5,4,4,2,5,4,1,5,2,5,3,5,3,4,3,1,4,5,4,4,5,4,2,5,1,2,4,1,3,5,5,5,5,5,5,3,5,5,4
"39",4,4,4,3,2,4,4,4,4,3,4,2,2,4,3,4,4,4,3,4,5,4,4,4,4,5,2,3,4,2,4,3,4,2,4,4,4,4,4,3,3,4,4,4
"40",4,2,3,3,3,3,5,4,4,5,4,4,4,3,4,4,4,4,4,5,4,4,4,3,4,4,2,2,5,5,5,4,2,4,3,4,4,4,4,2,4,4,2,1
"41",3,2,4,4,4,4,4,4,3,4,2,5,5,1,4,2,4,4,2,4,2,2,4,4,3,2,3,4,3,3,5,2,4,3,4,4,2,4,4,2,4,3,4,2
"42",4,3,4,4,3,4,4,4,3,4,1,3,5,2,4,2,5,5,1,5,1,1,4,4,5,2,1,3,3,3,4,2,3,3,3,4,4,3,3,4,2,4,3,2
"43",2,4,3,2,3,1,4,4,4,5,1,4,5,1,5,2,4,4,4,4,2,4,3,4,4,4,2,3,4,4,2,3,2,3,2,3,1,3,1,3,4,2,2,1
"44",4,3,5,5,3,5,4,5,2,5,1,3,5,1,5,2,5,5,3,5,1,1,5,5,5,2,2,4,3,1,5,4,5,4,5,5,5,5,5,5,3,5,2,5
"45",4,3,5,4,3,4,4,3,2,5,2,5,5,1,5,2,4,3,4,4,5,2,4,4,3,4,1,4,3,2,5,3,4,3,4,4,3,2,3,3,2,2,4,3
"46",5,4,4,4,1,4,1,5,5,5,2,4,5,1,5,2,5,4,2,5,1,1,4,4,5,5,1,3,3,3,3,3,4,3,3,3,2,3,3,2,4,3,1,1
"47",4,2,5,4,2,5,4,4,3,2,2,4,4,1,4,2,4,3,2,4,2,1,4,4,4,2,2,4,2,2,5,2,4,1,5,5,4,5,5,5,2,4,1,5
"48",5,3,4,4,1,4,2,5,3,4,3,2,4,4,2,2,4,4,2,4,3,4,3,4,2,3,3,2,2,4,2,4,2,4,4,3,2,4,3,4,2,3,4,3
"49",3,3,4,4,4,3,4,3,2,4,1,5,5,1,4,2,5,3,3,5,3,3,3,3,4,5,1,4,3,2,4,4,3,4,3,5,2,5,2,4,4,3,4,2
"50",4,2,5,4,2,4,4,4,4,4,2,4,4,1,4,1,5,4,3,4,3,2,3,4,4,3,3,4,4,4,2,4,3,5,3,5,2,4,2,3,4,3,4,1
"51",2,4,2,2,4,2,4,4,4,3,3,4,2,1,3,3,4,5,2,4,1,1,5,1,4,3,3,2,2,4,2,3,3,4,2,2,2,2,2,3,3,2,3,3
"52",4,3,3,2,2,3,2,4,3,3,2,2,2,4,3,4,2,5,2,5,1,1,5,5,4,1,2,3,3,2,3,4,3,3,3,3,3,3,2,3,5,3,2,4
"53",2,3,4,4,3,4,5,3,3,4,3,4,4,3,5,4,3,4,4,4,3,3,4,5,3,4,3,2,5,4,3,4,3,4,5,5,5,5,5,5,3,4,3,5
"54",4,3,3,4,3,4,4,4,2,2,2,4,4,2,4,4,4,4,4,4,4,3,1,4,3,4,2,3,4,2,4,3,3,2,3,2,2,3,3,2,2,3,3,1
"55",5,3,5,4,1,4,2,5,3,4,3,5,4,2,4,3,4,4,3,5,3,3,3,4,4,3,1,4,2,2,4,2,4,2,2,3,2,2,3,3,5,2,4,1
"56",4,2,4,4,2,4,2,5,3,4,3,4,4,2,4,3,4,4,2,5,3,2,4,4,4,4,2,4,4,4,3,4,3,2,3,4,4,4,4,3,2,4,2,3
"57",4,4,5,4,4,2,2,5,1,5,1,5,5,1,5,2,5,5,1,5,1,2,5,5,5,2,1,4,4,4,4,4,4,4,2,2,4,2,2,2,4,1,5,1
"58",5,1,3,5,1,4,1,5,3,3,3,2,2,2,3,5,2,3,5,4,5,5,1,2,2,5,5,1,4,5,2,5,3,2,5,5,4,5,4,5,5,3,1,5
"59",3,4,4,2,3,4,3,2,2,3,3,4,4,5,2,3,2,4,2,2,3,3,5,4,4,3,1,3,4,2,2,5,3,2,3,2,3,4,3,3,4,3,4,4
"60",4,3,3,3,3,2,3,3,4,4,2,4,4,2,3,3,4,4,3,4,3,4,3,4,3,4,2,3,3,4,3,3,3,4,3,4,2,2,2,2,4,4,4,2
"61",4,3,5,5,2,4,4,5,2,5,1,5,5,1,5,1,5,5,3,5,3,1,4,5,4,2,1,4,4,2,4,2,4,2,4,5,5,4,3,4,3,2,4,5
"62",3,3,4,3,4,3,3,3,2,4,2,4,5,2,4,2,4,4,3,4,2,2,3,4,4,3,2,4,2,2,4,2,4,2,3,4,3,3,3,3,3,3,3,3
"63",4,3,4,3,5,4,5,4,4,4,3,4,5,2,4,4,4,5,3,5,3,4,2,4,4,3,4,4,3,3,4,4,3,4,3,3,2,2,2,3,3,2,3,2
"64",5,4,3,3,3,4,2,4,4,5,2,4,5,3,5,2,4,4,2,4,2,2,4,3,4,3,4,2,4,5,2,5,3,2,3,4,3,4,3,3,3,5,2,3
"65",4,3,4,3,3,4,3,4,4,4,3,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,2,4,3,2,3,4,3,3,3,4,3,2,3,3,4,3,3,3
"66",4,3,3,3,3,3,3,4,2,5,2,4,5,1,4,2,4,4,3,5,2,2,3,3,4,3,2,3,3,4,4,2,3,2,3,3,3,2,3,2,3,3,4,1
"67",2,2,4,4,3,3,4,4,2,4,2,4,4,2,5,1,4,4,3,4,3,1,5,4,3,4,2,4,3,3,5,3,4,3,3,4,3,4,3,4,3,4,3,3
"68",4,5,3,3,3,3,3,5,4,4,1,4,5,3,5,3,4,3,4,4,4,4,4,5,4,2,1,5,1,2,4,2,5,2,4,4,5,3,3,3,4,3,3,3
"69",5,2,5,5,1,5,1,5,2,5,1,5,5,1,4,2,5,5,3,4,2,1,4,5,5,3,1,5,2,2,5,1,5,2,5,5,4,5,5,2,5,5,2,2
"70",3,3,3,2,4,3,4,4,3,4,2,4,5,1,4,2,4,4,4,5,2,4,3,4,4,3,1,5,3,1,5,2,3,3,3,3,3,3,2,2,5,2,3,1
"71",4,1,3,3,2,3,1,4,4,2,2,4,4,1,4,4,4,5,4,4,2,3,4,4,4,4,2,3,4,4,2,4,3,4,3,3,3,2,3,1,4,3,4,1
"72",3,4,3,2,4,2,4,2,4,3,2,3,2,3,3,2,3,3,3,3,4,4,3,3,2,4,2,4,3,3,3,4,2,3,3,5,2,5,2,5,2,4,3,3
"73",4,4,4,4,3,3,4,4,4,2,4,2,4,2,2,4,3,5,4,5,1,1,4,4,5,4,1,2,4,2,4,4,2,4,2,4,3,3,2,3,4,3,4,2
"74",4,4,2,3,4,2,4,2,5,4,4,5,4,3,5,3,4,4,4,4,2,2,5,4,4,4,5,1,5,5,1,5,2,5,3,5,4,5,2,5,4,4,1,4
"75",4,3,4,3,4,3,4,4,3,3,2,4,2,2,4,4,4,3,5,3,5,4,2,4,2,5,2,3,4,5,4,4,4,3,2,4,2,4,3,5,2,4,1,5
"76",4,3,4,4,3,3,4,5,2,4,2,4,5,1,5,2,4,2,3,4,3,3,3,3,3,5,1,2,3,4,3,4,4,4,4,4,2,2,2,3,2,4,3,3
"77",5,3,4,4,4,3,4,4,3,5,1,5,2,1,5,1,4,4,2,5,4,3,5,3,4,4,1,4,4,2,4,2,4,4,5,5,4,5,5,5,3,5,1,4
"78",4,3,5,4,4,4,4,5,2,4,1,5,5,2,5,1,4,2,5,5,5,4,1,3,4,4,4,2,4,5,2,5,3,4,3,4,2,4,3,4,5,3,4,3
"79",5,2,5,5,2,4,3,5,2,5,1,5,5,1,5,1,5,4,3,5,2,4,4,4,4,3,1,4,2,1,5,2,4,3,3,4,1,4,3,5,5,3,3,3
"80",4,3,5,5,3,4,4,5,1,4,1,4,4,1,5,1,4,5,1,5,1,3,4,5,5,1,1,5,1,1,4,1,4,4,3,5,4,4,2,5,4,3,1,5
"81",4,3,4,3,3,3,4,4,2,5,1,5,5,2,5,2,4,5,3,5,2,3,4,4,4,3,2,3,5,3,3,4,4,3,3,5,3,5,3,4,3,5,3,5
"82",5,2,4,4,1,4,2,5,4,5,4,2,4,4,2,4,4,5,4,5,1,3,4,4,4,4,1,3,4,2,4,4,4,2,4,5,5,5,4,3,2,3,4,1
"83",5,3,5,5,3,3,3,4,4,3,1,5,5,3,5,4,5,5,4,5,1,2,5,5,5,4,4,2,5,5,3,4,2,5,5,4,4,4,4,4,2,4,1,5
"84",1,4,3,2,5,2,5,1,4,4,1,4,5,1,5,1,4,5,4,5,3,4,3,4,4,4,1,4,4,4,4,1,2,4,4,5,4,4,4,5,1,4,1,4
"85",5,1,4,5,4,5,1,4,4,2,1,4,2,2,4,3,3,5,1,5,1,2,4,4,2,2,2,3,2,2,3,1,3,1,5,5,4,4,4,5,5,2,1,3
"86",2,4,3,3,5,2,4,2,2,4,3,4,3,2,4,1,4,4,2,4,1,1,4,4,4,3,2,3,4,3,2,3,3,4,4,3,3,4,4,3,2,3,4,2
"87",1,5,4,2,5,1,5,1,4,4,1,4,4,4,4,2,5,4,3,5,1,2,4,5,5,4,1,4,3,4,3,3,4,2,1,5,1,1,1,5,5,1,2,5
"88",4,2,4,4,3,4,3,5,4,4,2,4,4,3,4,4,2,3,3,4,2,4,3,3,2,5,2,3,4,3,3,4,4,4,5,5,3,5,4,5,4,4,1,5
"89",4,3,4,4,4,3,4,4,2,5,2,5,5,2,5,1,4,4,3,5,3,3,4,4,3,5,3,4,4,3,4,3,4,2,4,4,5,4,4,4,3,4,3,3
"90",1,4,2,4,4,2,4,2,4,5,4,4,4,4,5,3,4,4,3,2,4,3,5,3,3,3,2,4,4,1,5,2,3,2,4,3,2,3,4,3,2,4,2,4
"91",4,3,3,3,2,4,3,4,2,3,2,4,5,4,4,4,4,5,3,5,4,3,3,4,3,4,2,2,3,4,2,4,3,3,2,4,4,2,3,2,4,3,3,2
"92",5,3,5,5,1,5,1,5,4,4,2,5,5,2,4,3,5,5,2,5,2,5,2,5,3,5,1,5,2,4,4,4,5,4,4,5,5,4,2,4,5,5,4,1
"93",2,3,4,3,3,4,2,4,3,4,2,4,4,2,3,2,3,5,2,4,1,2,4,4,4,2,2,4,3,2,4,2,4,2,4,3,4,3,4,3,4,4,3,2
"94",2,2,2,2,4,2,4,2,2,4,2,4,4,2,5,2,4,4,2,4,2,4,2,4,3,4,3,3,4,2,3,4,4,2,2,4,2,2,2,4,4,2,1,4
"95",4,1,4,4,1,4,3,4,1,5,1,5,5,1,5,1,5,5,1,5,1,1,4,5,4,3,1,3,4,4,4,4,4,5,4,5,4,5,3,3,5,4,4,1
"96",4,1,4,4,1,4,1,5,3,4,3,3,5,1,5,1,5,4,4,4,2,2,3,4,4,4,1,2,5,4,3,3,2,4,4,4,3,4,3,1,3,4,4,1
"97",3,2,4,4,2,4,2,4,2,4,2,2,2,2,5,3,4,4,2,5,2,2,4,5,4,4,2,3,2,3,4,3,2,2,4,4,4,4,4,5,5,4,1,4
"98",5,4,3,3,2,4,4,4,4,4,1,5,4,1,4,1,4,4,4,4,1,4,5,4,2,2,4,4,2,2,5,3,4,1,5,4,5,5,5,5,3,5,1,5
"99",5,1,5,5,1,4,2,5,2,5,2,5,5,1,5,1,5,3,5,4,3,3,2,5,5,2,1,3,2,2,5,1,5,2,5,4,2,4,4,3,3,3,3,2
"100",5,2,5,5,1,4,2,5,2,4,2,5,4,1,4,3,5,4,2,5,4,4,4,4,4,5,1,4,4,2,4,4,4,1,5,5,4,4,4,4,2,4,2,4
"101",5,4,4,4,2,4,2,5,4,4,3,4,5,4,3,4,4,4,3,5,3,3,4,3,4,3,2,3,3,3,3,4,3,3,4,4,4,4,4,4,3,3,3,3
"102",4,3,4,4,2,3,2,5,1,4,2,5,4,1,5,2,5,5,4,4,4,4,5,5,2,5,1,2,4,4,4,5,2,4,3,5,1,2,4,4,4,4,4,4
"103",5,3,4,4,4,4,4,4,4,3,2,4,4,3,4,2,3,4,4,4,2,4,5,2,3,5,2,2,4,4,4,3,2,3,3,4,3,4,4,4,4,4,2,4
"104",4,3,4,4,2,4,3,5,2,4,2,4,4,2,4,3,4,4,2,4,2,2,3,4,4,2,2,2,3,3,3,3,4,3,4,4,3,4,3,4,4,4,2,3
"105",5,2,5,5,1,5,1,5,4,5,4,3,3,5,4,4,4,5,1,5,1,1,5,5,5,1,3,4,5,4,2,2,5,2,3,5,5,5,2,2,4,5,1,1
"106",5,2,5,5,1,5,2,5,1,4,1,4,5,1,5,1,5,5,4,5,3,2,5,5,5,1,1,5,2,2,5,2,5,1,5,5,4,5,4,2,2,4,2,2
"107",4,4,4,2,3,4,4,4,3,4,2,3,4,1,4,4,2,3,4,4,5,4,1,2,2,4,2,2,4,4,3,4,2,4,2,5,4,2,1,4,1,4,3,3
"108",5,3,5,5,3,3,5,5,4,4,2,4,4,2,4,4,4,4,4,4,1,4,4,4,3,4,4,3,4,4,3,5,3,4,4,4,4,5,4,5,2,4,2,4
"109",5,2,4,5,2,4,2,5,2,5,1,4,5,1,5,2,4,3,4,5,3,3,2,3,3,2,1,2,4,3,2,2,3,3,3,4,5,5,2,3,4,3,2,3
"110",5,2,5,5,2,4,3,5,4,4,2,4,5,1,4,4,5,4,3,4,1,4,3,4,5,5,2,4,3,4,3,5,3,3,3,5,4,2,2,2,2,3,4,2
"111",4,4,4,4,4,3,4,4,3,5,1,5,5,1,5,1,5,5,4,5,2,1,5,5,5,3,1,2,4,5,5,4,4,4,3,4,4,3,3,4,2,3,3,2
