"","talkative","researvedR","fullenergy","enthusiastic","quietR","assertive","shyR","outgoing","findfaultR","helpful","quarrelsR","forgiving","trusting","coldR","considerate","rudeR","cooperative","thorough","carelessR","reliable","disorganizedR","lazyR","persevere","efficient","plans","distractedR","blue","relaxedR","tense","worries","emostableR","moody","calmR","nervous","ideas","curious","ingenious","imagination","inventive","artistic","routineR","reflect","nonartisticR","sophisticated"
"112",4,2,2,2,4,4,2,3,4,4,3,5,5,4,4,2,4,5,4,5,1,2,3,5,5,2,4,2,4,2,3,4,2,2,4,4,4,4,4,5,4,4,4,4
"113",5,1,5,5,1,4,4,5,1,5,1,5,5,1,5,1,5,5,1,5,1,4,5,5,5,1,1,5,3,1,4,4,5,1,4,4,3,3,3,3,3,3,3,1
"114",4,2,5,5,2,5,2,5,2,5,1,5,5,1,5,1,5,5,3,5,2,2,5,5,3,2,1,4,3,1,5,2,5,3,4,5,3,5,5,5,3,5,1,4
"115",4,4,3,4,3,4,4,5,3,4,2,5,5,2,5,4,4,4,4,4,4,2,4,4,4,5,2,3,5,5,2,5,3,4,3,2,2,2,2,2,1,4,3,1
"116",5,1,4,4,1,4,1,5,2,4,2,4,4,1,4,2,4,4,3,4,4,2,4,4,4,3,1,4,2,2,4,2,3,1,3,4,3,3,3,2,3,4,4,1
"117",4,3,4,4,2,2,1,4,4,4,2,2,2,1,4,2,4,3,4,4,2,2,3,4,4,5,3,2,4,5,2,4,4,4,4,4,4,2,2,3,3,4,4,2
"118",4,3,5,5,2,4,3,5,2,4,1,5,5,1,5,1,4,4,1,5,4,3,4,3,3,3,3,2,2,3,5,3,3,2,4,4,3,4,3,5,4,4,4,5
"119",2,2,4,4,3,3,4,4,2,5,2,3,5,1,5,2,4,5,1,5,1,1,4,5,4,1,1,2,3,1,3,4,4,2,4,3,3,4,2,4,2,2,3,3
"120",4,4,4,4,4,4,4,4,3,4,3,5,5,1,5,2,4,4,4,5,3,3,4,4,4,2,2,2,2,4,3,4,3,4,4,4,1,4,4,3,4,2,3,2
"121",4,3,4,3,3,4,4,4,4,3,3,4,1,4,5,2,4,4,3,4,4,4,3,3,3,3,4,2,4,4,3,4,3,3,4,5,5,5,5,5,3,4,2,4
"122",4,3,4,5,2,3,2,4,2,4,1,5,5,2,5,1,5,4,3,4,3,4,4,4,4,4,1,3,2,1,4,4,4,3,4,4,4,4,4,5,5,4,2,4
"123",4,2,4,2,3,2,2,3,2,4,2,4,4,1,4,2,4,4,3,4,2,2,3,4,4,3,4,3,4,4,2,4,2,4,3,4,3,2,3,4,4,4,2,4
"124",5,1,5,5,1,5,2,5,1,5,1,5,5,1,5,1,5,4,3,4,2,2,4,5,3,4,1,3,2,2,5,3,4,1,5,5,5,5,5,5,3,5,1,5
"125",5,1,5,4,1,4,1,5,4,4,1,3,4,1,2,4,4,5,1,5,1,4,3,5,5,2,2,1,5,2,2,5,2,1,5,5,4,5,3,5,5,3,2,3
"126",3,2,4,4,3,4,4,3,4,4,2,4,5,2,4,2,4,4,3,5,2,4,3,4,3,3,2,3,3,3,3,4,3,4,3,4,4,4,3,3,3,3,4,2
"127",4,4,4,4,3,4,4,4,4,3,2,4,4,2,4,4,4,4,3,4,2,2,3,4,3,4,2,3,4,2,4,4,4,4,3,4,2,4,3,2,2,4,3,3
"128",4,5,3,4,3,4,4,3,3,4,2,3,4,2,4,2,4,5,4,5,2,4,4,4,4,4,4,1,3,4,3,4,3,4,4,4,2,4,4,4,1,4,4,2
"129",3,4,3,3,4,2,4,3,4,3,1,4,3,1,5,2,4,5,2,5,1,3,5,4,4,4,1,2,4,4,4,4,2,4,4,4,3,3,3,4,4,3,2,4
"130",5,2,3,5,2,2,3,5,2,5,1,5,4,1,5,1,5,3,2,2,3,3,3,1,2,5,4,1,5,5,1,2,2,5,2,5,1,4,1,2,4,4,5,1
"131",5,2,5,5,2,5,1,5,3,4,1,5,5,1,5,2,5,5,3,5,2,1,5,5,5,1,1,5,4,1,5,3,5,1,5,5,5,5,4,5,3,5,2,4
"132",5,3,5,5,2,4,2,5,2,4,1,5,5,1,5,2,4,4,2,4,2,2,5,4,4,2,1,5,2,2,5,2,4,1,5,5,5,5,5,5,3,5,5,5
"133",4,4,3,4,4,3,3,4,2,5,1,4,4,1,5,3,5,2,4,5,3,3,2,4,2,4,4,3,4,5,3,4,2,4,4,4,4,4,2,4,5,4,4,5
"134",3,3,2,2,5,1,5,2,3,5,1,5,5,1,5,2,5,4,2,5,2,3,4,4,4,4,2,1,5,5,1,4,1,5,4,5,4,4,4,5,2,3,1,5
"135",4,4,4,4,3,4,4,4,1,4,2,5,5,1,4,3,4,4,3,5,4,4,4,4,4,3,1,3,5,3,4,4,3,4,4,4,4,4,4,4,4,4,2,3
"136",5,2,5,5,2,3,2,5,3,4,2,5,4,2,4,2,4,3,4,4,3,4,3,3,2,3,2,3,3,4,3,3,2,3,4,4,3,4,2,2,3,3,2,2
"137",3,5,3,3,4,2,5,3,2,4,1,3,1,2,5,1,4,5,1,5,3,2,4,4,3,4,3,3,4,3,2,2,4,3,4,4,4,4,3,5,4,3,1,5
"138",4,3,4,4,2,4,2,5,2,4,3,4,5,3,4,3,5,5,3,5,1,2,5,5,5,4,1,3,5,5,1,5,4,5,4,4,4,5,3,5,4,5,4,4
"139",4,1,4,4,4,3,4,5,2,5,1,5,5,1,4,2,5,4,5,5,5,2,2,4,4,5,5,1,4,5,1,5,4,2,4,5,4,4,1,2,4,3,4,1
"140",5,1,5,5,1,5,2,5,4,4,4,4,4,1,5,3,5,5,1,5,1,1,5,5,5,2,1,4,3,2,2,4,4,2,5,4,2,2,2,1,3,1,3,1
"141",3,4,3,3,5,3,3,4,3,5,2,5,5,1,5,1,5,5,1,5,1,3,5,5,5,4,2,4,4,4,2,3,4,4,2,4,3,2,2,3,4,3,2,4
"142",3,4,2,2,4,4,5,4,3,4,3,2,3,5,5,4,3,3,3,5,4,4,4,4,4,3,5,2,5,5,2,5,2,4,5,3,2,5,4,4,2,3,3,4
"143",4,2,4,4,2,4,2,4,3,5,1,5,4,1,5,1,4,5,3,5,1,4,5,5,5,4,2,2,4,4,2,4,3,4,4,4,4,4,3,2,4,3,3,4
"144",4,1,5,5,1,4,1,5,2,5,1,5,5,1,5,1,4,4,3,4,4,2,4,4,3,4,1,4,4,2,5,2,2,2,4,5,3,3,3,5,1,4,2,5
"145",4,4,4,4,4,4,4,4,2,5,2,4,5,1,5,2,5,5,4,5,2,4,5,4,5,5,1,4,3,4,4,4,2,4,4,4,3,4,4,4,4,4,3,3
"146",5,2,3,2,3,4,1,5,3,3,2,4,3,1,4,2,4,3,2,3,3,3,4,4,3,3,1,2,3,1,5,2,3,1,4,3,3,2,3,1,2,3,1,1
"147",2,5,3,3,5,5,5,3,1,4,1,4,5,1,5,2,4,5,2,5,2,3,4,5,3,3,1,3,4,3,4,4,4,2,5,4,5,4,5,5,3,4,5,5
"148",4,2,5,5,4,4,4,5,2,5,1,5,5,1,5,2,5,5,4,5,2,1,4,5,2,4,3,4,4,3,4,2,4,3,5,5,5,5,5,5,2,5,1,5
"149",4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,2,4,3,4,4,2,3,3,4,1,5,2,1,4,3,5,4,3,4,2,4,3,4,3,2,2,4
"150",3,2,2,2,3,4,2,4,5,4,4,3,3,4,2,4,3,4,2,4,4,4,4,5,4,2,1,5,1,1,5,1,4,1,5,5,5,4,5,4,3,5,2,5
"151",4,4,2,4,3,4,3,4,3,5,1,5,5,1,5,3,5,4,4,5,3,4,4,5,5,4,4,1,5,3,3,5,1,5,5,5,5,4,4,5,3,5,2,4
"152",4,4,4,4,3,4,4,5,3,5,1,4,5,1,4,4,4,5,2,5,1,2,5,5,4,4,1,2,2,2,5,3,4,5,2,4,3,3,3,4,5,3,2,2
"153",4,3,4,4,2,3,3,2,2,4,3,4,3,2,4,2,5,3,4,3,3,4,3,4,3,4,4,4,3,4,2,4,3,4,4,5,4,5,3,4,4,4,4,4
"154",5,2,3,2,2,3,3,4,4,3,2,3,5,3,3,3,4,3,3,4,2,3,2,2,3,4,5,1,5,5,1,4,2,5,3,4,3,4,4,3,3,4,3,4
"155",4,3,4,4,3,3,3,4,4,5,4,5,3,2,4,4,4,4,5,5,5,3,3,4,4,5,5,2,5,5,1,5,2,5,3,3,3,4,3,4,3,3,3,3
"156",4,2,4,3,2,4,2,4,2,3,3,4,4,2,4,2,4,4,2,4,2,4,4,4,4,4,2,2,2,3,3,4,4,4,3,4,3,3,2,4,4,4,2,4
"157",3,3,2,2,4,4,4,3,2,5,1,3,4,1,5,2,5,5,4,5,2,3,5,5,4,3,2,4,3,2,4,3,4,3,4,4,4,3,4,5,3,4,2,4
"158",2,3,3,3,4,3,2,2,2,3,1,2,5,2,3,2,3,4,2,5,1,2,3,3,4,1,2,4,2,2,4,2,4,2,3,4,3,2,2,1,5,2,1,2
"159",4,4,4,4,3,2,2,5,2,5,1,5,5,1,5,2,4,5,1,5,1,1,2,5,4,3,1,3,2,5,3,3,4,3,3,4,2,3,2,2,4,2,4,2
"160",5,2,5,5,3,4,4,4,2,5,1,5,4,1,5,2,4,5,2,5,2,4,4,4,4,3,2,4,3,4,4,2,3,4,4,4,4,3,3,3,2,3,3,4
"161",2,4,1,1,5,2,4,2,2,4,2,4,4,1,4,3,3,3,3,3,3,5,2,3,3,3,4,2,3,4,2,4,3,4,2,3,2,2,2,3,3,3,3,2
"162",4,2,4,4,2,4,2,4,1,4,2,4,4,1,5,2,5,5,3,4,1,1,4,4,4,2,1,4,2,2,2,3,4,2,4,4,4,5,4,4,2,4,2,3
"163",4,2,3,4,2,5,4,5,3,5,3,5,5,3,5,4,4,5,2,5,3,4,5,4,5,4,3,4,3,1,4,3,5,3,3,5,2,3,2,3,5,3,3,3
"164",5,2,5,5,4,3,4,5,2,4,2,4,5,1,4,2,5,5,2,5,2,4,5,5,5,3,2,4,2,2,4,4,4,4,5,5,5,4,5,3,5,4,2,2
"165",5,2,5,5,1,5,1,5,2,5,2,4,5,1,5,2,4,5,2,5,3,4,3,5,5,4,1,4,1,1,4,4,5,1,4,5,5,3,3,4,2,4,3,2
"166",4,4,4,4,4,4,4,4,4,5,3,5,5,1,4,3,4,4,3,4,2,3,2,4,5,4,1,4,1,3,4,4,3,5,2,4,3,4,2,4,4,3,2,4
"167",3,3,5,5,3,5,2,5,2,5,1,5,4,1,5,1,4,3,3,2,4,3,3,4,4,2,1,5,1,1,5,1,5,2,5,5,5,5,5,3,1,5,4,4
"168",2,1,4,5,4,4,2,4,1,4,1,4,4,1,5,1,5,5,1,5,1,1,5,5,5,4,1,4,2,2,5,4,4,5,4,5,5,4,4,2,4,4,4,4
"169",3,4,2,3,5,4,5,1,4,4,4,4,3,4,4,4,3,3,5,3,4,5,2,2,2,5,3,2,4,4,2,4,2,4,4,3,4,4,4,5,1,2,2,5
"170",2,4,2,2,5,2,5,2,2,4,1,4,5,2,5,2,4,4,3,5,3,5,2,4,2,4,2,3,4,4,2,4,1,5,2,3,2,3,3,3,3,4,3,3
"171",4,2,5,4,2,4,2,5,3,4,1,5,5,1,4,1,4,5,2,5,2,1,4,4,5,2,2,3,3,5,3,3,3,4,3,5,3,5,3,4,4,4,2,5
"172",5,2,5,5,3,3,2,5,3,4,2,3,5,1,4,1,5,5,1,5,1,1,4,4,4,2,1,4,2,2,4,1,3,3,3,5,2,5,3,2,5,4,3,1
"173",4,2,4,3,3,3,3,4,4,3,2,4,4,1,4,4,4,4,4,5,3,4,2,3,4,2,3,3,3,4,3,4,2,2,3,4,2,2,2,2,3,3,2,1
"174",5,3,4,4,3,5,4,4,1,5,1,4,5,1,5,1,5,5,1,5,1,1,3,4,4,2,1,3,2,2,2,3,4,3,4,3,2,3,2,5,3,3,1,5
"175",4,1,5,3,3,4,3,3,1,5,1,5,5,1,4,1,4,5,2,5,1,1,5,4,5,2,1,5,2,1,4,4,4,1,4,5,4,4,3,3,4,3,3,3
"176",4,2,4,4,3,3,3,4,4,4,3,4,4,2,4,3,4,5,2,4,2,4,4,4,4,2,2,4,4,4,3,2,4,4,4,4,3,4,4,4,3,4,3,2
"177",4,3,3,3,4,3,3,4,2,4,2,4,3,2,4,3,4,4,2,4,2,4,3,4,4,4,3,2,4,4,2,4,1,4,3,3,3,3,3,3,3,3,3,3
"178",5,4,4,4,3,4,3,4,2,4,2,4,4,2,4,4,4,5,3,4,4,3,3,4,4,3,2,4,4,2,4,3,4,2,4,4,4,4,4,4,4,4,1,5
"179",5,4,4,4,2,5,1,4,2,4,1,5,4,2,5,1,4,4,3,5,2,2,4,4,4,2,1,5,2,2,4,2,5,1,5,5,4,5,4,5,3,4,1,4
"180",4,4,4,4,3,4,2,5,2,4,3,4,4,2,5,3,4,4,4,5,3,3,4,4,3,4,3,4,4,4,3,4,4,3,4,4,4,2,3,3,4,4,5,1
"181",4,4,5,5,3,5,2,5,1,4,1,5,4,1,4,1,5,5,3,5,2,1,5,5,5,1,1,4,1,1,4,1,4,1,4,4,4,4,4,4,3,4,1,4
"182",4,2,3,4,2,4,2,4,3,3,3,4,3,2,3,3,4,3,4,3,3,4,3,3,3,4,2,3,3,3,4,4,3,3,4,4,3,4,4,4,2,4,2,4
"183",3,2,4,5,3,4,3,4,2,4,2,4,4,2,4,4,4,3,4,4,4,4,3,3,3,4,3,2,4,4,4,4,2,4,5,4,3,4,4,4,3,4,4,4
"184",4,3,3,3,4,4,3,4,2,4,2,2,3,2,4,3,4,4,3,4,3,3,3,4,4,3,2,2,4,5,2,4,4,3,2,4,4,3,2,4,4,2,4,3
"185",5,2,5,5,1,5,1,5,4,5,3,5,5,4,5,4,5,5,4,5,1,1,5,5,5,4,1,3,5,4,3,4,4,4,3,5,4,4,4,5,3,5,1,5
"186",4,3,4,5,3,4,3,5,4,5,2,1,2,2,4,2,4,5,4,5,3,2,5,5,4,4,2,3,3,2,2,3,4,2,5,4,5,4,4,4,4,4,2,4
"187",5,4,4,4,3,3,3,4,2,5,1,5,5,1,4,1,4,5,3,4,1,1,5,4,4,3,1,3,2,2,5,3,3,3,4,4,5,3,3,3,3,4,3,3
"188",4,1,3,4,1,4,2,4,3,4,2,4,5,1,3,4,4,3,1,5,1,2,3,3,3,2,1,3,4,4,4,5,3,4,3,4,1,2,2,5,4,3,3,5
"189",4,4,3,3,4,4,4,3,4,3,3,4,4,2,4,2,4,4,4,5,2,3,3,3,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,2
"190",1,4,3,2,5,3,4,4,4,4,1,5,3,1,4,4,4,3,2,4,1,2,5,4,4,5,4,1,5,5,2,5,3,5,2,3,4,4,1,3,5,2,4,2
"191",3,3,4,3,5,3,5,3,4,4,1,3,5,1,5,1,5,5,1,5,1,4,4,5,2,4,1,5,2,1,4,3,5,4,2,4,3,4,3,4,5,3,1,5
"192",3,3,5,3,3,4,2,4,2,5,1,5,5,1,5,1,4,5,2,5,2,1,5,4,4,2,1,5,1,1,5,1,5,2,5,5,4,5,5,4,2,4,3,3
"193",4,4,4,4,4,4,4,4,3,4,2,4,5,3,5,2,4,5,2,5,2,2,4,4,4,4,3,4,4,5,3,4,4,4,2,3,4,3,3,4,3,3,4,5
"194",4,4,4,4,4,3,4,2,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,3,4,4,4,2,4,4,3,4,4,4,3,4,2,4
"195",4,3,5,5,1,4,2,4,2,4,1,5,5,1,4,2,4,3,3,4,2,2,3,4,3,4,1,2,3,2,4,3,3,2,3,4,2,4,4,3,3,4,3,2
"196",4,3,4,4,4,4,2,4,3,4,3,4,4,2,5,3,4,4,2,5,3,3,3,5,4,4,2,4,2,4,4,4,4,4,3,4,4,4,3,4,3,4,3,2
"197",4,2,4,3,2,2,3,4,3,5,1,5,5,1,4,1,4,5,4,5,3,3,3,4,5,2,1,5,4,2,4,4,5,2,4,5,4,4,4,3,1,4,4,3
"198",5,1,5,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,1,5,2,1,5,5,5,1,1,5,1,2,5,1,5,1,4,5,4,5,5,5,2,5,1,3
"199",4,2,3,3,3,4,4,4,4,4,3,4,4,3,3,4,4,4,3,4,4,3,3,4,4,4,2,2,4,4,3,4,2,2,3,3,3,4,2,2,4,3,4,2
"200",5,3,3,3,2,4,1,4,4,4,4,4,5,3,4,4,4,5,3,5,4,4,2,5,4,4,1,3,4,3,4,4,4,2,4,4,4,4,5,4,5,4,2,2
"201",3,2,5,5,4,3,2,3,1,5,1,5,4,1,4,1,3,3,1,3,1,3,3,3,3,1,1,3,1,4,3,2,3,1,3,3,3,3,3,3,3,3,3,3
"202",5,3,5,5,1,5,2,4,4,2,1,5,5,1,5,2,5,5,4,4,4,1,5,5,5,2,1,3,5,4,4,4,3,3,4,5,4,5,4,5,3,3,1,5
"203",5,1,5,5,1,5,2,5,1,5,1,5,5,1,5,1,5,5,1,5,1,1,5,5,5,1,1,5,3,1,5,3,5,1,5,5,3,5,5,4,4,4,3,3
"204",4,2,4,5,2,2,2,5,1,5,1,5,5,1,5,1,5,5,3,5,3,2,2,5,4,4,2,2,3,3,4,2,2,4,4,5,4,5,4,4,2,5,1,4
"205",5,4,5,5,3,2,4,3,3,3,5,4,5,1,5,4,5,4,4,5,5,5,3,3,5,5,3,1,5,5,1,5,1,5,5,5,5,5,5,5,2,5,1,3
"206",2,4,2,2,2,4,2,2,3,4,1,3,3,4,4,1,4,5,2,5,1,1,5,5,4,1,1,4,4,2,5,2,5,2,4,5,5,5,4,1,3,4,2,1
"207",4,4,4,4,1,4,2,5,2,4,2,4,4,1,5,4,4,5,4,5,1,3,4,4,5,4,1,2,4,5,1,5,2,4,3,5,3,3,3,4,5,3,3,4
"208",4,4,4,3,2,4,4,4,3,4,2,3,5,2,5,2,4,3,3,4,3,2,3,4,4,5,2,2,3,3,3,4,4,3,4,4,3,4,3,3,3,4,4,1
"209",2,4,2,2,5,2,4,1,3,5,3,5,5,3,4,4,2,3,5,4,4,4,3,2,2,4,4,3,5,4,3,4,4,3,4,4,5,5,4,1,3,4,4,3
"210",5,3,4,4,2,4,3,5,3,4,2,5,4,1,4,1,4,5,1,5,4,2,3,5,3,4,2,3,2,2,2,2,4,2,3,4,4,3,3,4,2,3,2,4
"211",4,3,5,5,4,3,5,5,4,4,3,5,5,1,5,3,5,5,4,5,4,1,3,4,5,4,1,4,4,2,5,2,4,3,5,4,3,4,3,5,5,4,1,5
"212",3,4,4,5,2,1,4,4,4,4,1,5,5,1,4,3,5,2,5,3,5,5,3,4,2,5,3,3,4,4,3,3,3,4,2,3,3,5,3,3,4,4,3,3
"213",3,3,4,4,4,3,4,4,3,4,3,4,4,2,4,3,4,4,3,4,1,2,4,4,4,3,2,3,4,3,4,4,3,3,4,5,3,5,4,4,2,4,2,4
"214",5,3,5,5,2,4,4,5,3,5,3,5,5,3,5,4,4,5,4,5,5,4,4,5,4,4,4,2,4,5,2,5,4,4,5,5,5,4,3,5,4,4,1,5
"215",3,1,5,5,3,4,3,4,4,5,1,4,4,1,5,3,3,4,5,5,2,4,4,5,3,3,2,5,3,4,4,4,5,3,3,5,5,4,4,3,2,4,2,1
"216",5,4,5,4,4,4,4,4,1,5,1,5,5,1,5,1,5,5,1,5,1,1,5,5,5,4,4,2,4,4,2,4,2,4,4,4,3,3,3,3,3,3,2,3
"217",5,3,3,3,3,4,3,4,4,4,2,2,4,4,3,3,4,3,3,4,3,4,3,3,4,3,2,3,4,2,4,4,2,3,4,4,3,4,3,3,1,4,4,2
"218",5,4,5,4,2,5,4,5,3,5,1,5,5,1,5,1,5,5,1,5,1,2,3,5,5,4,1,2,2,2,2,1,2,2,5,5,4,5,5,5,4,5,1,5
"219",4,2,4,4,3,4,3,4,2,4,2,4,4,2,4,2,5,4,4,4,3,3,3,4,4,2,1,4,3,2,4,2,3,2,3,5,3,4,3,4,2,4,2,5
"220",3,2,5,3,3,3,2,5,2,4,3,2,3,2,3,1,3,3,1,3,1,1,3,2,3,4,1,5,2,4,1,3,4,2,3,5,3,3,2,4,3,3,2,3
"221",4,4,4,5,2,2,4,4,3,5,1,4,5,1,5,1,5,4,2,5,2,2,4,4,4,4,2,4,4,4,3,4,3,4,3,4,4,5,3,3,4,4,3,3
"222",3,2,4,4,2,4,1,5,4,4,1,5,4,1,4,1,4,4,2,5,1,1,2,4,5,4,1,4,2,3,3,2,3,3,4,4,4,3,3,3,4,4,2,3
"223",5,3,5,4,2,4,2,5,1,4,1,4,5,1,5,2,4,3,4,3,5,5,2,3,3,3,2,4,2,1,4,2,4,1,3,5,4,3,3,3,3,4,2,1
"224",4,4,4,4,4,4,4,5,2,5,1,4,5,2,5,4,5,5,4,5,2,1,4,5,4,4,1,4,3,1,4,4,4,2,4,5,4,5,4,5,3,4,5,5
"225",2,3,5,4,4,3,4,4,1,4,1,4,3,1,4,2,4,5,2,5,1,1,5,5,5,1,1,5,2,2,5,2,4,2,3,5,5,3,3,4,1,2,1,5
"226",4,1,5,5,1,3,2,5,2,5,1,5,5,1,5,2,5,4,4,5,2,2,4,5,5,3,1,5,2,2,5,2,5,4,4,5,4,4,4,5,2,4,1,5
"227",4,3,5,5,4,4,4,4,4,4,3,4,4,4,4,4,3,5,4,5,4,4,5,5,5,4,1,5,2,2,4,4,5,3,4,5,3,4,3,3,1,3,3,3
"228",3,3,4,4,3,4,5,3,2,4,3,4,4,4,5,2,2,4,4,4,3,3,4,5,4,4,4,2,5,3,3,4,4,3,5,5,4,5,5,5,3,5,1,4
